gene,transmissibility,n_amplified_cases,gnomad_LOEUF,gnomad_pLI,gnomad_mis_z,dep_mean_effect,dep_frac_dependent,in_complex,n_complexes,complex_size,has_complex,length,mol_weight,isoelectric_point,gravy,aggregation_propensity,tm_domain_count,signal_peptide,vsl2_disorder,psipred_helix,psipred_strand,psipred_coil,asaquick_buried,transcript_length,gc_content,n_isoforms,utr5_length,utr3_length,codon_optimality,dn_ds,phylop_mean,gene_age_proxy,is_tf,is_kinase,is_receptor,is_enzyme,go_mf_category,n_tissues_expressed,tau,degree,weighted_degree,betweenness
CA13,0.4276315789473684,152,1.163,1.7599e-06,0.19735,0.083391829148288,0.0,False,0,,0,262,29443,6.451759910583495,-0.4545801526717557,2.885714285714284,0,False,0.031,0.183,0.256,0.561,0.298,3884.0,46.8948,7.0,371.0,2724.0,44.1065,0.068392,,5.0,False,False,False,True,catalytic_activity,43.0,0.7073997196605103,0,0.0,0.0
CA2,0.02631578947368421,152,1.373,1.6946e-06,0.35948,0.0289284123236065,0.0,False,0,,0,260,29246,6.867537117004395,-0.5788461538461539,2.9285714285714266,0,False,0.031,0.131,0.25,0.619,0.304,1562.0,49.4253,8.0,75.0,704.0,54.023,0.14656,,5.0,False,False,False,True,catalytic_activity,52.0,0.872461062626153,11,9.068,0.0002887261646008
CA3,0.02631578947368421,152,0.85,0.0017251,0.55462,0.0418985773720823,0.0,False,0,,0,260,29557,6.861625862121582,-0.6030769230769231,3.1285714285714294,0,False,0.138,0.238,0.204,0.558,0.273,1721.0,53.2567,6.0,51.0,887.0,62.069,0.06989,,4.0,False,False,False,True,catalytic_activity,47.0,0.9972499047558236,2,1.5459999999999998,3.4192753425611536e-06
CA4,0.00819672131147541,122,1.149,7.1318e-06,-0.122,-0.0228823115415564,0.0033112582781456,False,0,,0,312,35032,7.68482494354248,-0.3439102564102564,3.242857142857141,0,True,0.003,0.385,0.179,0.436,0.321,1123.0,58.5729,25.0,62.0,122.0,76.6773,0.400663,,4.0,False,False,False,True,catalytic_activity,49.0,0.8855132966761988,2,1.555,2.6005671340560453e-05
CA9,0.6172839506172839,81,1.093,1.3027e-09,0.1102,-0.0766775046155439,0.0049668874172185,True,1,1.0,1,459,49698,4.63723201751709,-0.3566448801742919,3.199999999999999,1,True,0.27,0.283,0.111,0.606,0.329,1546.0,61.5217,6.0,32.0,134.0,63.913,0.278092,,5.0,False,False,False,True,catalytic_activity,25.0,0.9917090689778294,6,4.7059999999999995,0.0001373172021451
CAAP1,0.4897959183673469,49,0.455,0.78449,-0.47465,0.0723632195396784,0.0041390728476821,False,0,,0,361,38368,4.62813777923584,-0.5481994459833796,2.085714285714283,0,False,0.82,0.449,0.08,0.471,0.299,2789.0,49.0792,23.0,87.0,1616.0,47.7901,0.138634,,5.0,False,False,False,False,,54.0,0.6247979271197419,1,0.737,0.0
CAB39,0.12195121951219512,82,0.633,0.068013,2.3827,-0.2175142853815108,0.2309602649006622,True,1,3.0,1,341,39869,6.429706382751465,-0.3997067448680352,2.442857142857141,0,False,0.155,0.669,0.059,0.272,0.334,3829.0,39.1813,36.0,432.0,2371.0,42.6901,0.007528,,6.0,False,False,False,False,molecular_function_regulator,54.0,0.4719190936655826,14,12.489,0.0001613742542322
CAB39L,0.0,48,1.003,6.3887e-05,0.63758,0.0814970863417703,0.0,False,0,,0,337,39088,8.489535331726074,-0.2902077151335311,3.0285714285714276,0,False,0.16,0.691,0.036,0.273,0.338,3502.0,40.8284,29.0,324.0,2164.0,46.4497,0.009836,,6.0,False,False,False,False,molecular_function_regulator,53.0,0.7517267860643063,9,7.918000000000001,1.0221158952059631e-06
CABIN1,0.5068493150684932,73,0.586,3.2844e-17,1.9223,-0.1506589931174357,0.0455298013245033,True,1,2.0,1,2220,246352,5.704497718811036,-0.5045945945945945,2.914285714285711,0,False,0.363,0.461,0.054,0.485,0.669,313.0,,5.0,0.0,0.0,,,,0.0,False,False,False,False,molecular_function_regulator,54.0,0.6291656671126629,9,8.097,0.000100159460975
CABLES1,0.09174311926605505,109,0.63,0.0054966,1.7312,0.0087039613501802,0.0,True,1,1.0,1,633,67599,9.323047065734862,-0.3672985781990521,2.8142857142857207,0,False,0.506,0.36,0.104,0.536,0.36,5283.0,62.5131,18.0,278.0,3103.0,74.2902,0.130844,,5.0,False,False,False,False,,51.0,0.7418195152315218,6,5.252,0.0002515257414683
CACNA2D1,0.1318181818181818,220,0.245,0.99989,3.4906,-0.0648000340983829,0.0049668874172185,True,1,1.0,1,1103,124568,5.1196813583374015,-0.3328195829555757,3.0428571428571525,1,True,0.014,0.332,0.209,0.459,0.429,7542.0,40.7814,29.0,318.0,3948.0,37.2711,0.03412,,5.0,False,False,False,False,transporter_activity,50.0,0.7729965090500711,4,2.856,1.0778042535808843e-06
CACTIN,0.6891891891891891,74,0.136,0.99998,3.2011,-1.0408568475352549,0.961092715231788,True,1,53.0,1,758,88702,9.166002082824708,-1.228100263852243,1.842857142857156,0,False,0.471,0.479,0.066,0.455,0.265,3583.0,66.1836,16.0,28.0,1278.0,89.4598,0.099417,,5.0,False,False,False,False,binding,54.0,0.5347919874019135,42,35.916,1.644839408478398e-05
CACUL1,0.8095238095238095,63,0.33,0.96315,0.6506,0.0479188839880945,0.0033112582781456,False,0,,0,369,41064,5.082565498352049,-0.3764227642276423,2.5714285714285703,0,False,0.325,0.52,0.068,0.412,0.306,11035.0,49.5495,22.0,208.0,9717.0,55.1351,0.060593,,4.0,False,False,False,False,binding,54.0,0.516119803857506,0,0.0,0.0
CACYBP,0.7939698492462312,199,0.38,0.91984,1.1367,-0.29413573697538,0.0836092715231788,True,1,2.0,1,228,26210,8.277821159362794,-0.7912280701754385,2.3857142857142852,0,False,0.351,0.478,0.189,0.333,0.259,2869.0,39.738,23.0,234.0,1948.0,41.4847,0.048804,,5.0,False,False,False,False,binding,54.0,0.6076408368590775,14,12.116,6.646359187801125e-05
CAD,0.9217391304347826,115,0.251,0.99993,4.3365,-0.4828863319856322,0.3816225165562913,False,0,,0,2225,242984,6.016827964782714,-0.0804494382022472,3.2571428571428567,0,False,0.049,0.385,0.171,0.444,0.829,7286.0,57.6819,14.0,183.0,425.0,65.7233,0.042601,,6.0,False,False,False,True,catalytic_activity,54.0,0.6711383295982005,22,19.828,6.351975822955964e-05
CADM1,0.05714285714285714,70,0.436,0.66216,1.8385,0.0002952750731682,0.0016556291390728,True,1,2.0,1,442,48509,4.943082618713378,-0.1434389140271493,3.814285714285714,1,True,0.072,0.167,0.412,0.421,0.31,8675.0,52.1893,29.0,21.0,7238.0,59.322,0.068023,,5.0,False,False,False,False,binding,51.0,0.8807423282514107,8,6.777000000000001,8.05956802397266e-05
CADM4,0.10204081632653061,98,0.169,0.99762,2.7432,-0.3225811574391172,0.1076158940397351,False,0,,0,388,42785,5.917302894592285,-0.243298969072165,3.928571428571429,1,True,0.028,0.175,0.402,0.423,0.358,2189.0,61.9537,11.0,60.0,962.0,74.5501,0.019253,,4.0,False,False,False,False,binding,53.0,0.8540995731803696,2,1.615,8.923505491210879e-07
CADPS2,0.09852216748768473,203,0.344,0.36785,1.0911,0.0344514642591494,0.0016556291390728,False,0,,0,1296,147735,5.8331811904907225,-0.4097222222222222,3.157142857142852,0,False,0.074,0.55,0.083,0.367,0.42,5768.0,44.8471,32.0,123.0,1754.0,43.5621,0.030309,,5.0,False,False,False,False,binding,52.0,0.9368538540450734,2,1.682,0.0
CALB2,0.17708333333333334,96,1.02,4.5423e-07,0.20143,0.139969935788511,0.0016556291390728,False,0,,0,271,31540,5.060966682434081,-0.6881918819188192,2.0714285714285716,0,False,0.129,0.55,0.052,0.398,0.295,1454.0,50.8578,5.0,70.0,568.0,70.5882,,,0.0,False,False,False,False,binding,40.0,0.9154776126085932,3,2.3080000000000003,1.1009336272235689e-07
CALCOCO1,0.12389380530973451,113,0.636,1.202e-06,1.1233,-0.1550739361109711,0.0132450331125827,True,1,1.0,1,691,77336,4.771769905090332,-0.6905933429811867,2.414285714285711,0,False,0.55,0.557,0.1,0.343,0.282,5576.0,57.2254,66.0,73.0,3427.0,65.6069,0.123921,,3.0,False,False,False,False,molecular_function_regulator,54.0,0.5633345350916013,2,1.516,0.0
CALCOCO2,0.25,116,0.65,0.0001027,0.9127,-0.0128874290647916,0.0049668874172185,False,0,,0,446,52254,4.938023948669432,-0.8713004484304934,1.6857142857142853,0,False,0.491,0.475,0.146,0.379,0.296,3635.0,44.9664,60.0,54.0,2240.0,54.3624,0.366189,,4.0,False,False,False,False,binding,54.0,0.562271730815889,32,26.61000000000001,0.0005979912872546
CALD1,0.12135922330097088,206,0.258,0.99879,0.80166,0.1184083124370832,0.0,False,0,,0,793,93231,5.615999412536621,-1.6918032786885244,1.7285714285714155,0,False,0.918,0.643,0.04,0.317,0.163,5011.0,48.6146,74.0,245.0,2384.0,50.3778,0.115057,,4.0,False,False,False,False,binding,53.0,0.8309825453900282,20,16.288,0.0002694491458038
CALM1,0.012048192771084338,83,0.327,0.94473,3.051,-0.0039109962877261,0.0033112582781456,True,1,3.0,1,149,16838,4.086916923522949,-0.6536912751677852,1.2000000000000008,0,False,0.027,0.57,0.034,0.396,0.275,4203.0,41.7778,34.0,202.0,3551.0,37.3333,0.0,,4.0,False,False,False,False,molecular_function_regulator,54.0,0.7773994973688364,54,46.142999999999994,0.000944385657348
CALML3,0.19767441860465115,86,1.904,0.00090968,0.93635,0.0750722732577722,0.0008278145695364,False,0,,0,149,16891,4.297903251647949,-0.6637583892617448,1.9857142857142864,0,False,0.208,0.591,0.027,0.382,0.262,1811.0,63.3333,1.0,125.0,1236.0,91.3333,0.057996,,4.0,False,False,False,False,binding,8.0,0.9782640059204376,111,95.84200000000004,0.0077159032365314
CALR,0.6162790697674418,86,0.38,0.89133,0.29064,-0.160195363833706,0.0107615894039735,True,1,3.0,1,417,48142,4.29034366607666,-1.10431654676259,2.685714285714286,0,True,0.341,0.218,0.194,0.588,0.374,1901.0,53.2695,33.0,71.0,576.0,69.6172,0.031202,,3.0,False,False,False,False,molecular_transducer_activity,54.0,0.8383183483101676,71,60.88100000000001,0.0041898375909772
CALU,0.8774509803921569,204,0.711,0.014005,1.3064,0.1289872767364203,0.0,False,0,,0,315,37107,4.47143268585205,-1.003809523809524,2.542857142857143,0,True,0.041,0.524,0.06,0.416,0.34,5266.0,45.8861,48.0,85.0,4233.0,50.9494,0.020286,,5.0,False,False,False,False,binding,54.0,0.910248529237054,8,6.435,5.097646928892051e-05
CAMK1,0.09803921568627451,51,0.818,3.0134e-05,0.52275,0.0251002519934277,0.0,False,0,,0,370,41337,5.118885612487793,-0.282972972972973,3.0428571428571423,0,False,0.086,0.473,0.081,0.446,0.389,1453.0,56.4241,40.0,148.0,192.0,73.3154,0.035177,,4.0,False,True,False,True,catalytic_activity,54.0,0.6398079380500394,7,6.015,6.910696865962585e-06
CAMK1D,0.3176470588235294,85,0.228,0.9962,2.4852,-0.0083101781912804,0.0008278145695364,False,0,,0,385,42914,6.769660377502441,-0.3641558441558441,3.0428571428571423,0,False,0.2,0.496,0.086,0.418,0.332,8088.0,50.6908,7.0,272.0,6658.0,62.1762,0.017328,,5.0,False,True,False,True,catalytic_activity,51.0,0.7975546069410414,4,3.571,1.9133829691194432e-05
CAMK2D,0.19607843137254902,51,0.539,0.002287,3.1055,0.0383080070463238,0.0,True,1,1.0,1,499,56369,6.814620018005371,-0.4006012024048097,3.3285714285714283,0,False,0.054,0.467,0.1,0.433,0.417,5785.0,45.0687,95.0,670.0,3513.0,44.0075,,,1.0,False,True,False,True,catalytic_activity,54.0,0.7726040658973357,6,4.912,6.028839792174732e-05
CAMK2G,0.057971014492753624,69,0.241,0.9991,3.8036,-0.0666543385501905,0.0033112582781456,False,0,,0,558,62607,7.901583671569825,-0.4688172043010753,3.3285714285714283,0,False,0.211,0.439,0.099,0.462,0.369,3878.0,55.5178,179.0,94.0,2017.0,66.5535,0.002666,,4.0,False,True,False,True,catalytic_activity,54.0,0.7358669685700895,5,4.396,3.991705564004345e-06
CAMK4,0.056179775280898875,89,0.474,0.50957,1.8115,0.0313589163005229,0.0016556291390728,True,1,1.0,1,473,51926,5.603096961975097,-0.2190274841437632,2.728571428571428,0,False,0.296,0.48,0.078,0.442,0.357,11942.0,49.1561,20.0,100.0,10420.0,48.5232,0.221366,,4.0,False,True,False,True,catalytic_activity,20.0,0.9625206554192124,13,11.978000000000002,1.703420864916906e-05
CAMKK2,0.1134020618556701,97,0.47,0.091625,1.5932,-0.2086975696127876,0.0438741721854304,False,0,,0,588,64746,6.251914024353028,-0.4685374149659864,3.085714285714289,0,False,0.352,0.293,0.131,0.576,0.332,4905.0,59.9887,61.0,131.0,3007.0,74.1935,0.069176,,2.0,False,True,False,True,catalytic_activity,54.0,0.924713087984852,14,12.519000000000002,1.6716605672589272e-05
CAMLG,0.5596330275229358,109,1.019,0.00061836,0.64507,-0.4555492049552118,0.402317880794702,True,1,1.0,1,296,32953,8.195623970031736,-0.3523648648648649,2.7857142857142896,3,False,0.426,0.591,0.041,0.368,0.264,2171.0,48.8215,22.0,73.0,1207.0,49.1582,0.074594,,4.0,False,False,False,False,binding,54.0,0.5408156367571115,9,7.480000000000001,0.0001271622946867
CAMP,0.2558139534883721,43,1.553,0.0043897,0.16249,-0.0266708342282852,0.0016556291390728,False,0,,0,170,19301,9.481188011169433,-0.4417647058823529,3.257142857142857,0,True,0.247,0.435,0.153,0.412,0.294,591.0,54.386,6.0,17.0,61.0,69.5906,0.538603,,2.0,False,False,False,False,binding,9.0,0.9888030143240504,20,17.523999999999997,0.0006327656980221
CAMSAP1,0.5272727272727272,55,0.239,0.99985,2.1542,-0.1222339936189028,0.0132450331125827,False,0,,0,1602,177972,6.282038688659668,-0.6657303370786517,3.0999999999999983,0,False,0.542,0.414,0.069,0.517,0.409,8018.0,56.5398,16.0,387.0,2822.0,67.5608,0.085923,,5.0,False,False,False,False,binding,54.0,0.7185070728424225,2,1.617,1.2197908124707685e-06
CAMSAP2,0.38219895287958117,191,0.203,0.99999,2.7046,-0.1188381097653724,0.0405629139072847,True,1,1.0,1,1489,168089,6.357179832458496,-0.7504365345869712,2.857142857142855,0,False,0.552,0.414,0.076,0.51,0.36,8017.0,41.0863,11.0,935.0,2645.0,33.3333,0.042516,,5.0,False,False,False,False,binding,53.0,0.6042386517039182,1,0.767,0.0
CAMSAP3,0.33766233766233766,77,0.154,1.0,3.3493,-0.0710562228294302,0.0024834437086092,True,1,2.0,1,1249,134750,8.60544948577881,-0.5457165732586069,2.9428571428571435,0,False,0.619,0.376,0.074,0.55,0.297,4137.0,67.28,16.0,140.0,247.0,79.68,0.060058,,4.0,False,False,False,False,binding,36.0,0.8882130382310802,5,4.566,0.000263204634772
CAND1,0.6850393700787402,127,0.101,1.0,4.1554,-0.3841652006242234,0.3302980132450331,True,1,2.0,1,1230,136376,5.520680427551268,-0.0191056910569106,2.9285714285714284,0,False,0.1,0.66,0.033,0.307,0.418,11176.0,39.9133,19.0,360.0,7123.0,32.3314,0.004476,,5.0,False,False,False,False,binding,54.0,0.601027903978104,23,20.063,4.580679001045284e-05
CAND2,0.08333333333333333,48,0.939,4.326e-16,1.3387,-0.0673071097849832,0.0049668874172185,False,0,,0,1236,135256,5.440992164611816,0.0390776699029126,2.857142857142857,0,False,0.082,0.69,0.019,0.291,0.426,4573.0,62.5168,16.0,41.0,821.0,77.4454,0.0761,,5.0,False,False,False,False,binding,50.0,0.9187323281192724,3,2.364,5.10112684783666e-06
CANT1,0.7207207207207207,111,1.309,2.5437e-06,0.4878,-0.1338534762040911,0.0107615894039735,False,0,,0,401,44840,5.71529712677002,-0.3394014962593516,3.085714285714286,1,False,0.037,0.219,0.287,0.494,0.424,3287.0,62.0232,63.0,247.0,1834.0,82.8358,0.106937,,5.0,False,False,False,True,catalytic_activity,54.0,0.6102646625377557,35,30.015000000000004,0.0002199110183181
CANX,0.8045112781954887,133,0.359,0.86635,1.582,-0.0342834394076646,0.0066225165562913,True,1,1.0,1,592,67568,4.470466423034667,-0.8739864864864867,3.728571428571432,1,True,0.324,0.297,0.108,0.595,0.383,4915.0,44.7442,109.0,139.0,2997.0,39.7976,0.049359,,6.0,False,False,False,False,binding,54.0,0.6324139875570052,78,65.46499999999999,0.0054990805271556
CAP1,0.39325842696629215,89,0.547,0.019817,1.2741,-0.6243702947818737,0.6291390728476821,True,1,2.0,1,475,51901,8.23540096282959,-0.3522105263157895,2.571428571428567,0,False,0.2,0.436,0.156,0.408,0.318,2626.0,48.9496,105.0,83.0,1115.0,51.6807,0.058627,,6.0,False,False,False,False,binding,54.0,0.7039832728577543,14,12.066,8.681755405647364e-05
CAP2,0.01020408163265306,98,0.407,0.69899,1.103,0.116127303675963,0.0,False,0,,0,477,52824,5.954759788513184,-0.4287211740041928,2.5285714285714227,0,False,0.239,0.367,0.17,0.463,0.342,2925.0,48.0474,41.0,153.0,1338.0,49.3724,0.071785,,6.0,False,False,False,False,binding,52.0,0.916737977600818,8,6.795,4.1544379016042646e-05
CAPG,0.23770491803278687,122,1.457,9.357e-14,0.36637,-0.0844706754609002,0.0057947019867549,True,1,1.0,1,348,38499,5.824030113220215,-0.4298850574712644,2.871428571428571,0,False,0.066,0.319,0.175,0.506,0.365,1250.0,58.6437,67.0,63.0,140.0,73.639,0.081224,,5.0,False,False,False,False,binding,54.0,0.7285770075563391,3,2.239,0.0
CAPN1,0.2765957446808511,94,0.706,5.8554e-10,1.6828,-0.1261568215717244,0.0115894039735099,True,1,1.0,1,714,81890,5.491124153137206,-0.3571428571428572,2.585714285714289,0,False,0.003,0.398,0.165,0.437,0.416,2952.0,59.5804,35.0,87.0,720.0,81.8182,0.09407,,4.0,False,False,False,True,catalytic_activity,54.0,0.7854779105363298,20,16.585,0.0001446788629771
CAPN15,0.6262626262626263,99,0.316,0.96857,1.7722,-0.0062729798119633,0.0041390728476821,False,0,,0,1086,117314,6.270102500915528,-0.2807550644567219,3.1857142857142873,0,False,0.29,0.31,0.134,0.556,0.366,313.0,,4.0,0.0,0.0,,,,0.0,False,False,False,True,catalytic_activity,54.0,0.6793288947768367,1,0.775,0.0
CAPN2,0.049723756906077346,181,1.072,3.519e-22,0.58861,-0.0146843641285126,0.0,False,0,,0,700,79995,4.8747053146362305,-0.4221428571428571,2.5714285714285756,0,False,0.006,0.386,0.151,0.463,0.397,3366.0,54.874,33.0,102.0,1161.0,71.3267,0.047361,,4.0,False,False,False,True,catalytic_activity,54.0,0.5854046430320486,11,9.903,2.7326281474447204e-05
CAPN5,0.2127659574468085,94,0.782,2.5197e-08,0.53393,-0.1149630585542781,0.021523178807947,False,0,,0,640,73169,7.572965812683107,-0.52078125,2.099999999999999,0,False,0.019,0.247,0.252,0.501,0.398,4367.0,60.6344,15.0,159.0,2285.0,81.4353,0.072102,,4.0,False,False,False,True,catalytic_activity,53.0,0.7945220249323812,2,1.657,0.0
CAPN7,0.3541666666666667,48,0.79,1.2865e-13,1.2134,0.1202028434435844,0.0,True,1,2.0,1,813,92652,7.551196479797364,-0.4445264452644526,2.671428571428578,0,False,0.047,0.277,0.252,0.471,0.41,4348.0,41.2367,35.0,250.0,1656.0,35.8722,0.041327,,4.0,False,False,False,True,catalytic_activity,54.0,0.5336932924433058,4,3.244,2.86275118128659e-05
CAPNS1,0.12903225806451613,124,1.113,7.11e-07,0.59203,-0.1415267869733631,0.0165562913907284,True,1,1.0,1,268,28316,5.047154808044433,-0.2376865671641791,2.1999999999999997,0,False,0.332,0.489,0.034,0.477,0.444,1428.0,57.9926,28.0,107.0,514.0,69.145,0.042459,,3.0,False,False,False,False,binding,54.0,0.4953132932066993,8,7.016,0.0003170106829714
CAPRIN1,0.859375,64,0.311,0.97247,1.6918,-0.1307889519801273,0.0811258278145695,True,1,10.0,1,709,78366,5.143269538879394,-0.911283497884344,1.5428571428571445,0,False,0.711,0.382,0.034,0.584,0.217,5514.0,49.0141,41.0,141.0,3243.0,44.0845,0.029475,,5.0,False,False,False,False,molecular_function_regulator,54.0,0.6258846025003092,25,20.252999999999997,5.284683179398962e-05
CAPS,0.056338028169014086,71,1.793,1.7206e-05,-0.49108,-0.150538170084758,0.0173841059602649,False,0,,0,275,30240,5.666927146911622,-0.476,2.67142857142857,0,False,0.316,0.429,0.058,0.513,0.236,1537.0,65.614,12.0,78.0,889.0,83.1579,,,1.0,False,False,False,False,binding,54.0,0.760637068678831,0,0.0,0.0
CAPZA1,0.5166666666666667,60,0.362,0.93292,1.2989,-0.0784286035993608,0.0115894039735099,True,1,4.0,1,286,32923,5.446164512634277,-0.6681818181818182,2.3714285714285688,0,False,0.063,0.399,0.217,0.384,0.297,2358.0,42.741,38.0,13.0,1484.0,42.1603,,,5.0,False,False,False,False,binding,54.0,0.7518154437277532,37,32.705,0.0005426686749596
CAPZA2,0.03365384615384615,208,0.161,0.99828,1.8416,-0.0380388567546911,0.0066225165562913,True,1,1.0,1,286,32949,5.5737112045288075,-0.5636363636363636,2.4142857142857133,0,False,0.035,0.399,0.255,0.346,0.287,5068.0,39.3728,35.0,25.0,4182.0,34.8432,0.021922,,5.0,False,False,False,False,binding,54.0,0.5689067725940525,32,27.665000000000006,0.0003515144358208
CAPZB,0.2,65,0.379,0.91165,2.8275,-1.2463567271165024,0.9635761589403974,True,1,4.0,1,272,30629,5.689719581604003,-0.5540441176470587,3.028571428571427,0,False,0.076,0.426,0.184,0.39,0.307,1675.0,50.5495,53.0,101.0,755.0,62.2711,0.0,,6.0,False,False,False,False,binding,54.0,0.4683025532559388,39,34.33200000000001,0.0004763174793033
CARD11,0.5511111111111111,225,0.227,0.99995,3.5439,-0.0555612296130286,0.0057947019867549,True,1,1.0,1,1154,133284,5.776740074157714,-0.7472270363951474,2.7857142857142856,0,False,0.391,0.486,0.098,0.416,0.308,4287.0,58.7879,14.0,326.0,496.0,81.2987,0.05967,,4.0,False,False,False,False,binding,38.0,0.9520783239927212,26,21.658,1.796869176910261e-05
CARD6,0.2872340425531915,188,1.256,3.3903e-13,-0.41394,-0.0136589509432725,0.0024834437086092,False,0,,0,1037,116468,5.979200553894043,-0.5995178399228545,2.6000000000000063,0,False,0.329,0.405,0.09,0.505,0.324,4038.0,45.6005,5.0,16.0,908.0,43.0636,0.339893,,1.0,False,False,False,False,,45.0,0.7117952166283182,3,2.509,8.656181066804282e-07
CARD8,0.20689655172413793,87,0.878,1.7672e-06,0.92313,-0.0781472410589992,0.0008278145695364,True,1,1.0,1,537,60652,4.759947395324706,-0.3828677839851024,2.3857142857142923,0,False,0.07,0.329,0.292,0.379,0.387,5610.0,49.7522,86.0,372.0,3624.0,54.8327,,,2.0,False,False,False,True,catalytic_activity,54.0,0.8017511590285886,9,8.094,9.921741265403828e-05
CARD9,0.19672131147540983,61,1.126,8.1491e-13,0.099659,-0.0109892448106645,0.0,True,1,1.0,1,536,62241,5.794644355773925,-0.8639925373134328,2.3714285714285723,0,False,0.571,0.715,0.032,0.253,0.237,2111.0,64.5562,25.0,154.0,346.0,90.689,0.126826,,4.0,False,False,False,False,binding,49.0,0.8689232768554532,23,20.695,1.4413197984479582e-05
CARHSP1,0.28703703703703703,108,1.867,5.0284e-05,-2.3808,0.1095584677851736,0.0,False,0,,0,147,15892,8.405468559265142,-0.4768707482993198,2.1000000000000005,0,False,0.381,0.014,0.347,0.639,0.136,2709.0,61.036,89.0,48.0,2217.0,68.9189,0.029467,,5.0,False,False,False,False,binding,54.0,0.7740380179061207,0,0.0,0.0
CARM1,0.788235294117647,85,0.099,0.99998,4.2514,-0.3246138108947384,0.2251655629139073,True,1,10.0,1,608,65854,6.251231956481934,-0.0473684210526315,2.4285714285714293,0,False,0.158,0.26,0.224,0.516,0.472,3295.0,59.9343,12.0,150.0,1318.0,80.1314,0.02355,,5.0,False,False,False,True,catalytic_activity,54.0,0.6478098813414379,35,31.078999999999994,0.0002026346119758
CARS,0.6938775510204082,49,0.494,0.00040314,1.196,,,False,0,,0,748,85473,6.3106287002563475,-0.5824866310160428,2.028571428571427,0,False,,,,,,2737.0,53.2853,65.0,56.0,185.0,65.7452,0.072906,,6.0,False,False,False,True,catalytic_activity,54.0,0.655047722619004,36,30.380999999999997,8.989517521332569e-05
CARS2,0.26582278481012656,79,0.84,9.5929e-08,0.24941,-0.3264985210082828,0.2466887417218543,False,0,,0,564,62224,8.576051902770995,-0.2485815602836879,2.9714285714285715,0,False,0.069,0.502,0.108,0.39,0.424,1838.0,55.9882,64.0,23.0,120.0,63.1858,0.103457,,6.0,False,False,False,True,catalytic_activity,54.0,0.5829972851613417,32,27.119000000000003,1.957175035927581e-07
CASC3,0.6371681415929203,113,0.379,0.61338,1.3171,-0.4151334672950217,0.3435430463576159,True,1,3.0,1,703,76278,6.053773307800292,-1.1314366998577523,1.557142857142862,0,False,0.935,0.182,0.064,0.754,0.202,3890.0,55.6818,42.0,12.0,1766.0,46.5909,0.092444,,5.0,False,False,False,False,binding,54.0,0.4710750340158804,57,48.405,4.269264153066357e-05
CASC4,0.5510204081632653,49,0.742,7.1603e-05,1.1308,,,False,0,,0,436,49498,5.1375856399536115,-0.985091743119266,4.128571428571429,1,False,,,,,,3974.0,47.0633,38.0,311.0,2352.0,47.1396,0.134633,,4.0,False,False,False,False,,54.0,0.4810922166670597,0,0.0,0.0
CASKIN2,0.023809523809523808,126,0.232,0.99971,0.73723,-0.1147258905934778,0.0049668874172185,False,0,,0,1202,126783,6.634269905090333,-0.4991680532445923,2.5714285714285716,0,False,0.55,0.319,0.067,0.614,0.302,4969.0,65.4475,22.0,541.0,819.0,71.8204,0.092654,,4.0,False,False,False,False,,52.0,0.8205573494104492,0,0.0,0.0
CASP1,0.2631578947368421,76,0.924,3.5183e-05,-0.059273,0.0426320990965859,0.0024834437086092,True,1,2.0,1,404,45159,5.6328237533569325,-0.3334158415841584,2.642857142857143,0,False,0.067,0.359,0.161,0.48,0.349,1996.0,44.7737,28.0,31.0,750.0,44.6914,,,5.0,False,False,False,True,catalytic_activity,54.0,0.8663236231378385,48,40.17399999999999,0.0007893242400381
CASP10,0.4479166666666667,96,1.287,4.6392e-12,0.026875,-0.0950956412991924,0.0041390728476821,True,1,2.0,1,521,58951,6.949044227600097,-0.3529750479846448,3.3000000000000034,0,False,0.113,0.424,0.134,0.442,0.33,5668.0,47.2913,24.0,175.0,3924.0,52.5813,,,4.0,False,False,False,True,catalytic_activity,54.0,0.8326182019172478,18,15.602000000000002,4.240822712633029e-05
CASP2,0.8829268292682927,205,0.658,0.0015026,0.49679,0.2530717549752305,0.0,True,1,2.0,1,452,50685,6.3464372634887685,-0.3011061946902654,2.8285714285714283,0,False,0.08,0.52,0.066,0.414,0.383,4089.0,52.9065,12.0,105.0,2625.0,60.2649,0.099129,,5.0,False,False,False,True,catalytic_activity,54.0,0.6072516151588461,16,13.408,4.202025366217894e-05
CASP3,0.9,50,0.686,0.10017,1.6592,0.0529936004040757,0.0033112582781456,True,1,2.0,1,277,31608,6.090718650817871,-0.4570397111913358,3.0428571428571423,0,False,0.123,0.332,0.137,0.531,0.321,2645.0,39.0887,36.0,235.0,1576.0,36.6906,0.077598,,5.0,False,False,False,True,catalytic_activity,54.0,0.7842479383245079,136,113.96199999999996,0.0109257720286814
CASP4,0.5394736842105263,76,1.169,3.0474e-08,0.17624,0.10480206190555,0.0,False,0,,0,377,43262,5.691424751281737,-0.5360742705570292,2.5999999999999983,0,False,0.103,0.435,0.098,0.467,0.35,1296.0,46.1199,18.0,49.0,113.0,50.5291,,,4.0,False,False,False,True,catalytic_activity,54.0,0.792352517762883,9,7.622999999999999,2.396243158644906e-06
